run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B3_s0018_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0018,431,0,none,9.381,518,161,0.0,False,,2026-07-24T12:56:33,3145.6
B4_s0018_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0018,431,0,none,10.362,1456,148,0.0,False,,2026-07-24T12:56:44,3145.6
B5_s0018_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0018,431,0,none,14.43,1289,128,0.0,False,,2026-07-24T12:56:59,3145.6
B6_s0018_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0018,431,0,none,11.536,797,138,0.0,False,,2026-07-24T12:57:11,3145.6
B7_s0018_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0018,431,0,none,38.154,1514,443,0.0,False,,2026-07-24T12:57:49,3145.6
B8_s0018_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0018,431,0,none,9.023,674,117,0.0,False,,2026-07-24T12:57:59,3145.6
B1_s0038_s42,ai4i_openai,B1,local,openai,42,s0038,1088,1,TWF,0.0,0,0,0.0,False,,2026-07-24T12:57:59,3145.6
B2_s0038_s42,ai4i_openai,B2,local,openai,42,s0038,1088,1,TWF,0.0,0,0,0.0,False,,2026-07-24T12:57:59,3145.6
B3_s0038_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0038,1088,1,TWF,8.42,521,146,0.0,False,,2026-07-24T12:58:07,3145.6
B4_s0038_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0038,1088,1,TWF,11.477,1459,91,0.0,False,,2026-07-24T12:58:19,3145.6
B5_s0038_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0038,1088,1,TWF,16.79,1313,155,0.0,False,,2026-07-24T12:58:36,3145.6
B6_s0038_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0038,1088,1,TWF,10.855,800,133,0.0,False,,2026-07-24T12:58:48,3145.6
B7_s0038_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0038,1088,1,TWF,39.226,1567,513,0.0,False,,2026-07-24T12:59:27,3145.6
B8_s0038_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0038,1088,1,TWF,14.658,695,146,0.0,False,,2026-07-24T12:59:42,3145.6
B1_s0053_s42,ai4i_openai,B1,local,openai,42,s0053,1510,1,TWF,0.0,0,0,0.0,False,,2026-07-24T12:59:43,3145.6
B2_s0053_s42,ai4i_openai,B2,local,openai,42,s0053,1510,1,TWF,0.0,0,0,0.0,False,,2026-07-24T12:59:43,3145.6
B3_s0053_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0053,1510,1,TWF,11.21,520,218,0.0,False,,2026-07-24T12:59:54,3145.6
B4_s0053_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0053,1510,1,TWF,8.649,1458,94,0.0,False,,2026-07-24T13:00:03,3145.6
B5_s0053_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0053,1510,1,TWF,7.86,1311,144,0.0,False,,2026-07-24T13:00:11,3145.6
B6_s0053_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0053,1510,1,TWF,11.042,799,139,0.0,False,,2026-07-24T13:00:22,3145.6
B7_s0053_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0053,1510,1,TWF,39.027,1586,497,0.0,False,,2026-07-24T13:01:02,3145.6
B8_s0053_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0053,1510,1,TWF,10.574,694,137,0.0,False,,2026-07-24T13:01:13,3145.6
B1_s0129_s42,ai4i_openai,B1,local,openai,42,s0129,4118,1,OSF,0.0,0,0,0.0,False,,2026-07-24T13:01:13,3145.6
B2_s0129_s42,ai4i_openai,B2,local,openai,42,s0129,4118,1,OSF,0.0,0,0,0.0,False,,2026-07-24T13:01:13,3145.6
B3_s0129_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0129,4118,1,OSF,16.991,519,194,0.0,False,,2026-07-24T13:01:30,3145.6
B4_s0129_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0129,4118,1,OSF,10.444,1457,150,0.0,False,,2026-07-24T13:01:41,3145.6
B5_s0129_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0129,4118,1,OSF,13.55,1324,142,0.0,False,,2026-07-24T13:01:55,3145.6
B6_s0129_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0129,4118,1,OSF,11.545,798,144,0.0,False,,2026-07-24T13:02:07,3145.6
B7_s0129_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0129,4118,1,OSF,43.33,1650,612,0.0,False,,2026-07-24T13:02:50,3145.6
B8_s0129_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0129,4118,1,OSF,19.002,708,184,0.0,False,,2026-07-24T13:03:10,3145.6
B1_s0130_s42,ai4i_openai,B1,local,openai,42,s0130,4122,1,HDF,0.0,0,0,0.0,False,,2026-07-24T13:03:10,3145.6
B2_s0130_s42,ai4i_openai,B2,local,openai,42,s0130,4122,1,HDF,0.0,0,0,0.0,False,,2026-07-24T13:03:10,3145.6
